Darosław, 138
Sławosz, 138
Wenancjusz, 137
Rościsław, 135
Anastazy, 130
Janisław, 125
Radomił, 125
Radzimir, 121
Sławoj, 121
Światosław, 110
Tomisław, 109
Erazm, 104
Borysław, 101
Aurelian, 93
Polikarp, 93
Renisław, 84
Wieczysław, 73
Zbisław, 73
Włodzisław, 72
Siemowit, 70
Gerwazy, 67
Onufry, 65
Anzelm, 63
Gromosław, 62
Szczęsny, 59
Efraim, 58
Mścisław, 56
Lutosław, 49
Wielisław, 47
Zdobysław, 47
Ścibor, 44
Efrem, 38
Przybysław, 38
Wojsław, 32
Bonawentura, 31
Grzesław, 30
Świętosław, 30
Jędrek, 27
Józefat, 27
Pankracy, 27
Żelisław, 26
Gniewosław, 25
Czarosław, 24
Sławomierz, 23
Sławian, 22
Stoigniew, 21
Tolisław, 20
Bożysław, 19
Rosław, 19
Jacław, 18
Olesław, 18
Lubosław, 16
Sulisław, 15
Dzierżysław, 14
Miłowit, 14
Godzisław, 13
Jarowit, 13
Boguchwał, 12
Bolebor, 9
Grzymisław, 9
Krzesisław, 9
Danisław, 8
Radowit, 8
Miłogost, 7
Radogost, 6
Godfryd, 5
Wszebor, 5
Ciechosław, 4
Sulibor, 4
Dobrogost, 3
Pakosław, 3
Sędzisław, 3
Świętopełk, 3
Bogumir, 2
Chwalibóg, 2
Chwalisław, 2
Cichosław, 2
Grodzisław, 2
Jaropełk, 2
Lutomir, 2
Miłomir, 2
Miłorad, 2
Miłowan, 2
Przemysł, 2
